index	Species	Perc.Diff	Avrg.Length	Avrg.GC	No.Chrs	Pvalues	Ratio	GenomeGC	PropDiff pvals	N50	MajorClade	Family	Genus	Avrg.TmProp	Avrg.ShuffledTmProp	DiffPropRealShuffled	Real TM>0	Shuffled TM>0	Hydro	Sh.Hydro	Pval_hydro	Hydro_dif	Diff.TmProp	T_content	3cod_perc.diff	3cod_prop_diff	6cod_perc.diff	6cod_prop_diff	edge_perc.diff_y	edge_tm_prop	edge_shuffled_tm_prop	edge_prop_diff_y	edge_tm>0	edge_shuffled_tm>0
0	alloascoidea_hylecoeti	6.2896582433485415	999.9614828008459	0.3036241051325207	112	18.147879304153236	1.100426590828297	31.57	24.12438229866902	949999	Alloascoideaceae	Alloascoideaceae	Alloascoidea	0.1772544933244943	0.1577568914477265	0.0194976018767678	68.91906935322275	62.62941110987421	0.19853087042190806	0.25828950628965697	38.05414630768471	-0.05975863586774899	0.0194976018767678	0.35706752223583765	7.897025265046402	0.027150408570241813	5.848483737546951	0.020683865870985533	3.588926996570308	0.1605277505405815	0.1473538858593094	0.013173864681272102	40.335619794218516	36.74669279764821
1	ambrosiozyma_kashinagacola	10.993811430651617	493.3361849290136	0.2904426687742478	21	30.305018313489708	1.2204379562043794	36.28	23.61370213419681	1369417	Pichiaceae	Saccharomycetales incertae sedis	Ambrosiozyma	0.19134170638984527	0.16347232993457514	0.027869376455270184	60.86639970877322	49.872588278121604	0.1598569659628684	0.261213149981798	63.53466657452935	-0.1013561840189296	0.027869376455270184	0.3627738722224276	13.887877684746995	0.04507920384563517	11.576265016381507	0.03653423453820323	5.816050495942292	0.17372350176370277	0.155735742769465	0.017987758994237768	42.92155094679892	37.105500450856624
2	ambrosiozyma_monospora	11.156037493107881	1107.4024995405257	0.35840128514849784	100	31.255634579085	1.2142605012354395	37.77	16.931716252656866	679229	Pichiaceae	Saccharomycetales incertae sedis	Ambrosiozyma	0.1351808389736166	0.11813604126137682	0.01704479771223978	63.22367211909575	52.067634625987864	0.019864698401029262	0.11936850156221288	105.70331048373698	-0.0995038031611836	0.01704479771223978	0.3268999405580074	16.47854523421161	0.03821307645797176	14.98902702898909	0.034708618273213976	1.219024780175861	0.12057023727611868	0.12135506154701363	-0.0007848242708949488	29.816147082334133	28.597122302158272
3	arxula_adeninivorans	7.2927241962774945	487.948730964467	0.42206682994681866	4	21.92223207842065	1.4292828685258965	48.12	9.647193064668636	3827910	Dipodascaceae/Trichomonascaceae	Trichomonascaceae	Blastobotrys	0.05068651628469095	0.03890584963039151	0.011780666654299436	24.280879864636212	16.988155668358715	-0.023512713197969468	-0.014207482910321529	0.7462974183448882	-0.009305230287647943	0.011780666654299436	0.29547779889259673	7.800338409475465	0.012517250981495516	8.020304568527921	0.012495114747688538	3.194544149318018	0.052369993562012176	0.041248205370346465	0.011121788191665712	14.824120603015075	11.629576453697057
4	ascoidea_asiatica	7.286149895682883	899.9263360616274	0.2498096807889455	67	19.618507177788945	1.1038188886348046	25.2	0.6576191115622851	1153196	CUG-Ser2	Ascoideaceae	Ascoidea	0.22040004861194504	0.21770950126268426	0.002690547349260747	77.46750120365913	70.18135130797624	0.2452030120365913	0.384285939175094	110.06487227026993	-0.13908292713850273	0.002690547349260747	0.3865875514968616	13.517002971579402	0.04376185582885808	11.652650673283036	0.03866150067678975	3.8788703640694067	0.23692921342976095	0.23149551681257607	0.005433696617184874	55.51207893841442	51.63320857434501
5	ascoidea_rubescens	11.141166525781927	790.8461538461537	0.3144596475687786	56	34.55477222705597	1.202582231786044	32.85	6.402365518193008	1035938	CUG-Ser2	Ascoideaceae	Ascoidea	0.1817979642631479	0.17127122384734267	0.01052674041580523	66.13693998309384	54.995773457311905	0.07773827675401519	0.1931682918005076	103.39525819012128	-0.11543001504649245	0.01052674041580523	0.3488651684457624	20.829989196691	0.05264746455208863	17.447611385089445	0.04362861518909564	5.146002872187644	0.17864074191400603	0.16547936256437182	0.013161379349634211	41.67065581617999	36.52465294399234
6	ashbya_aceri	6.4959254947613525	382.62398137369036	0.4752324910520408	8	16.677261476607853	1.5647773279352226	51.19	12.337746109332626	1493473	Saccharomycetaceae	Saccharomycetaceae	Ashbya	0.04028382196260742	0.02633728906651626	0.013946532896091155	17.997671711292202	11.501746216530847	-0.07740931152502897	-0.1327231438882422	12.225184961407056	0.05531383236321322	0.013946532896091155	0.2673009219800007	5.7275902211874286	0.011963900410932373	3.492433061699652	0.007865159662502764	1.646447140381282	0.03559741708202199	0.029098198137214152	0.006499218944807841	10.48526863084922	8.838821490467938
7	babjeviella_inositovora	2.415284787310739	970.957462148522	0.430021942230396	33	2.070954259274137	1.0695742471443406	48.13	0.23645433720743625	933105	CUG-Ser1	Debaryomycetaceae	Babjeviella	0.04772203398900112	0.0469551946682183	0.0007668393207828084	37.13049747656813	34.71521268925739	-0.07325105839942303	-0.04261467718096605	15.455480506985635	-0.030636381218456982	0.0007668393207828084	0.2894574192545972	7.462148521989902	0.009423895370985758	8.038932948810379	0.010092070252030648	1.2791079042308944	0.044333357479008004	0.039736622331775884	0.00459673514723212	12.75828140373893	11.479173499508036
8	brettanomyces_anomalus	12.707722385141745	711.9507331378302	0.34477875204235464	26	37.84790090716524	1.2498078401229824	39.81	34.41256487996421	1112461	Pichiaceae	Pichiaceae	Brettanomyces	0.1564124724081966	0.1265788667827519	0.02983360562544472	63.57771260997068	50.86999022482893	0.06632110029325522	0.1447225147605078	44.74806588733893	-0.07840141446725256	0.02983360562544472	0.3346437369251629	16.835392124742732	0.04370652085551117	12.433122510185894	0.0341287844504117	3.1461258450338008	0.12059666972608371	0.11134040679322911	0.0092562629328546	31.2532501300052	28.1071242849714
9	candida_albicans	10.43196175516475	685.4879631210517	0.2994482353363251	17	58.30922730848803	1.1961161932274111	33.45	73.71478407871899	2231927	CUG-Ser1	Debaryomycetaceae	Candida	0.17663533119110655	0.14537708040363995	0.031258250787466614	63.62472255420863	53.19276079904388	0.1334181968584601	0.2377948530817836	109.06897037775265	-0.10437665622332347	0.031258250787466614	0.3557703072710589	16.340486817317	0.05762674444777537	12.679551054764607	0.04618365895440518	9.806668534603531	0.17480817289988582	0.14436103574991838	0.03044713714996744	45.13869431213225	35.33202577752872
10	candida_apicola	18.113772455089816	537.8404619332763	0.3660571405891255	30	68.69463548180393	1.4941656942823802	45.23	70.42303791810154	773945	Dipodascaceae/Trichomonascaceae	Dipodascaceae	Candida	0.13550742377613986	0.0865473673780286	0.04896005639811127	54.769033361847725	36.655260906757924	0.1338097044482463	0.10741009238665512	5.708589720763675	0.026399612061591183	0.04896005639811127	0.3237643998166553	15.975192472198458	0.03950282543271754	14.563729683490164	0.03386863259350298	5.443886097152429	0.09215253681118661	0.07313691457419493	0.019015622236991686	25.16750418760469	19.72361809045226
11	candida_arabinofermentans	13.733075435203107	568.8754352030948	0.3198329958878426	52	43.70279612176043	1.301742456438589	34.74	34.15705206046271	701640	Pichiaceae	Pichiaceae	Candida	0.1595765535226717	0.12796783896879008	0.03160871455388162	59.24564796905223	45.51257253384912	0.16825840696324953	0.19976942321083235	5.876360388422529	-0.03151101624758279	0.03160871455388162	0.3470253204412725	15.398898743046033	0.040351714192495634	13.889610817349446	0.03639429923208922	3.162530024019219	0.13727836331956475	0.1253217850341992	0.01195657828536556	34.947958366693356	31.785428342674138
12	candida_auris	5.017301038062282	608.3142301038063	0.4099743583871983	82	7.309837222891527	1.2103354487760651	45.13	0.6967625362611716	267017	CUG-Ser1	Metschnikowiaceae	Candida	0.04470118688012805	0.04230937262307135	0.0023918142570567014	28.871107266435985	23.853806228373703	-0.016315175173010357	0.02303248529411769	5.165641532779307	-0.03934766046712805	0.0023918142570567014	0.3018587420088609	11.613321799307954	0.014560720075312984	10.575259515570934	0.012994292839853795	1.9843851659076126	0.0414794027543024	0.03606915089913685	0.005410251855165547	12.394274560832791	10.409889394925179
